brand|model|name|price_from|credit_month|benefit|engine|transmission|drive|in_stock|url
Aito|M5|Aito M5|6215000|84796|75000|1.5 л|AT|Полный|1|https://skayavto.ru/catalog/aito/m5
Aito|M7|Aito M7|7415000|101169|75000|1.5 л|DHT|Полный|1|https://skayavto.ru/catalog/aito/m7
Aito|M9|Aito M9|8425000|114949|75000|1.5 л|AT|Полный|1|https://skayavto.ru/catalog/aito/m9
Amberauto|A5|Amberauto A5|2150000|29334|75000|0 л|AT|Передний|1|https://skayavto.ru/catalog/amberauto/a5
Avatr|07|Avatr 07|6425000|87661|75000|1.5 л|AT|Задний, Полный|1|https://skayavto.ru/catalog/avatr/07
Avatr|12|Avatr 12|6706000|91495|75000|0 л|AT|Полный|1|https://skayavto.ru/catalog/avatr/12
Avatr|11|Avatr 11|6875000|93801|75000|0 л|AT|Задний, Полный|1|https://skayavto.ru/catalog/avatr/11
BAIC|X35|Baic X35|1299000|17723|576000|1.5 л|CVT|Передний|1|https://skayavto.ru/catalog/baic/x35
BAIC|U5 Plus|Baic U5 Plus|1569000|21407|664000|1.5 л|5MT, CVT|Передний|1|https://skayavto.ru/catalog/baic/u5-plus
BAIC|U5 Plus CNG|BAIC U5 Plus CNG|1645522|22451|445000|1.5 л|5MT, CVT|Передний|1|https://skayavto.ru/catalog/baic/u5
BAIC|EU5|BAIC EU5|1755000|23945|445000|0 л|AT|Передний|1|https://skayavto.ru/catalog/baic/eu5
BAIC|X7|BAIC X7|1815000|24764|125000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/baic/x7
BAIC|X55|BAIC X55|1840000|25105|1130000|1.5 л|7CVT|Передний|1|https://skayavto.ru/catalog/baic/x55
BAIC|X75|BAIC X75|2024000|27615|76000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/baic/x75
BAIC|BJ40|BAIC BJ40|2810000|38339|215000|2-2 л|8AT|Полный|1|https://skayavto.ru/catalog/baic/bj40
BAIC|BJ60|BAIC BJ60|4625000|63103|875000|2 л|8AT|Полный|1|https://skayavto.ru/catalog/baic/bj60
BYD|Qin Plus|BYD Qin Plus|2489900|33972|410000|1.5 л|AT, CVT|Передний|1|https://skayavto.ru/catalog/byd/qin-plus
BYD|Song Pro|BYD Song Pro|2570000|35065|420000|1.5 л|CVT|Передний|1|https://skayavto.ru/catalog/byd/song-pro
BYD|Yuan Plus|BYD Yuan Plus|3210000|43797|480000|0 л|AT|Передний|1|https://skayavto.ru/catalog/byd/yuan-plus
BYD|Han|BYD Han|4619000|63021|580000|0 л|AT|Полный|1|https://skayavto.ru/catalog/byd/han
BYD|Tang|BYD Tang|5075000|69242|675000|0 л|AT|Полный|1|https://skayavto.ru/catalog/byd/tang
BYD|FangChengBao Leopard 5|BYD FangChengBao Leopard 5|5125000|69925|75000|1.5 л|CVT|Полный|1|https://skayavto.ru/catalog/byd/fangchengbao-leopard-5
Belgee|S50|Belgee S50|1694000|23113|155000|1.5 л|AT, MT|Передний|1|https://skayavto.ru/catalog/belgee/s50
Belgee|X50|Belgee X50|1725000|23536|755000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/belgee/x50
Belgee|X70|Belgee X70|1829000|24955|750000|1.5 л|AMT, AT|Передний, Полный|1|https://skayavto.ru/catalog/belgee/x70
Belgee|X50+|Belgee X50+|2244990|30630|75000|1.5 л|AMT|Передний|1|https://skayavto.ru/catalog/belgee/x50-plus
Changan|Alsvin|Changan Alsvin|1304900|17804|635000|1.5 л|5DCT|Передний|1|https://skayavto.ru/catalog/changan/alsvin
Changan|CS55 Plus III|Changan CS55 Plus III|1304900|17804||1.5 л|7DCT|Передний|0|https://skayavto.ru/catalog/changan/cs55
Changan|CS95 Plus|Changan CS95 Plus|1304900|17804||2 л|8AT|Полный|0|https://skayavto.ru/catalog/changan/cs95-plus
Changan|Eado Plus|Changan Eado Plus|1444900|19714|935000|1.4-1.4 л|7DCT|Передний|1|https://skayavto.ru/catalog/changan/eadoplus
Changan|Hunter Plus|Changan Hunter Plus|2134900|29128|835000|2 л|6MT|Полный|1|https://skayavto.ru/catalog/changan/hunter-plus
Changan|UNI-S|Changan UNI-S|2144900|29265|1035000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/changan/uni-s
Changan|CS75FL|Changan CS75FL|2149900|29333|320000|1.8 л|6AT|Передний, Полный|1|https://skayavto.ru/catalog/changan/cs75fl
Changan|UNI-T|Changan UNI-T|2269900|30970|970000|1.5 л|AMT|Передний|1|https://skayavto.ru/catalog/changan/uni-t
Changan|UNI-V|Changan UNI-V|2274900|31038|915000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/changan/uni-v
Changan|CS75 Plus|Changan CS75 Plus|2344900|31993|1475000|1.5-2 л|AT|Передний|1|https://skayavto.ru/catalog/changan/cs75plus
Changan|Lamore|Changan Lamore|2404900|32812|525000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/changan/lamore
Changan|CS55 Plus|Changan CS55 Plus|2465900|33644|714000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/changan/cs55plus
Changan|Raeton Plus|Changan Raeton Plus|2510000|34246|275000|1.5 л|7DCT|Передний|1|https://skayavto.ru/catalog/changan/raeton-plus
Changan|CS35 max|Changan CS35 max|2524900|34449|75000|1.5 л|AMT|Передний|1|https://skayavto.ru/catalog/changan/cs35-max
Changan|CS35 Plus New|Changan CS35 Plus New|2539900|34654|240000|1.4 л|7DCT|Передний|1|https://skayavto.ru/catalog/changan/cs35plus-new
Changan|UNI-L|Changan UNI-L|2854900|38952|75000|1.5 л|AMT|Передний|1|https://skayavto.ru/catalog/changan/uni-l
Changan|UNI-S new|Changan UNI-S new|2904900|39634|75000|1.5 л|AMT|Полный|1|https://skayavto.ru/catalog/changan/uni-s-new
Changan|UNI-K|Changan UNI-K|3194900|43591|1015000|2 л|8AT|Передний, Полный|1|https://skayavto.ru/catalog/changan/uni-k
Changan|CS95|Changan CS95|3299000|45011|1230000|2 л|6AT|Полный|1|https://skayavto.ru/catalog/changan/cs95
Changan|CS85 Coupe|Changan CS85 Coupe|3359900|45842|400000|2 л|8AT|Передний|1|https://skayavto.ru/catalog/changan/cs85-coupe
Changan|CS75 Plus IV|Changan CS75 Plus IV|4024900|54915|165000|2 л|8AT|Полный|1|https://skayavto.ru/catalog/changan/cs75
Changan|CS95 New|Changan CS95 New|4449900|60714|400000|2 л|8AT|Полный|1|https://skayavto.ru/catalog/changan/cs95-new
